Unternehmen	Klassifikation	Reasoning	Quelle
EPIROC	B	Großer OEM für Bergbau- und Baumaschinen (Bohrgeräte, Lader, Anbaugeräte). Fertigt spezialisierte Pumpen für Grubenausbau (Hydrabolt, Swellex); Hauptmaschinen-Hydraulik wird von Tier-1 beschafft. Eckerle EIPS/EIPC/EIMQ könnten für Aggregate oder Ersatzteile in Frage kommen; Beschaffung typischerweise über Systemintegratoren.	https://www.epiroc.com/en-us/products | https://www.epiroc.com/en-uk/products/parts-and-services/fluid-management-solutions
EQ Systems	C	Hersteller von Hydraulik-Hub- und Nivelliersystemen für Wohnmobile, Anhänger und gewerbliche Anwendungen (Landing Gear, Stützen). Kleine Hydraulikaggregate mit Pumpen; Segment eher RV/Anhänger als Baumaschinen. Eckerle theoretisch passend für kompakte Pumpen, aber nicht Kernzielgruppe Mobilhydraulik/Stapler.	https://eqsystems.us/ | https://eqsystems.us/faq/
Erie Strayer Company	B	OEM für Betonmischanlagen (Central Mix, Transit Mix, mobil, self-erecting) seit 1912. Nutzt Parker-Hydraulik für Aufrichten, Mischer, Verstellung. Eckerle EIPS/EIPC als Alternative oder Zweitquelle für Industrie- und mobile Aggregate sinnvoll; direkter OEM-Käufer.	https://eriestrayer.com/ | https://eriestrayer.com/products/
ERMONT	B	Fayat-Marke für kontinuierliche Asphaltmischanlagen (TSM, TSX, RF, ROADMASTER). Anlagen mit Förderung, Verstellung, evtl. hydraulischen Antrieben. Eckerle EIPC/EIPS für stationäre/mobile Anlagenhydraulik denkbar; bei Fayat oft zentrale Beschaffung.	https://ermont.fayat.com/en/continuous-asphalt-plants | https://ermont.fayat.com/en/continuous-asphalt-plants/tsx-highway-range
Erskine Attachments	B	OEM für Schneepflüge, Streuer und Schneefräsen (Skid-Steer, Kompakttraktoren). Hydraulikzylinder und -motoren in Anbaugeräten (z. B. SB300/SB360 Schneefräsen). Eckerle EIMQ für Drehantriebe in Schneefräsen denkbar; typische Mobilhydraulik-Zielgruppe.	https://erskineattachments.com/products/ | https://erskineattachments.com/products/v-plow/
Eskridge	C	Antriebstechnik (Zahnradantriebe, Bohrerköpfe, Ankerantriebe, Bremsen) für Bau, Agrar, Bergbau; Teil von Ramsey Industries. Mechanische Getriebe, keine Hydraulikpumpen/-motoren. Kein typischer Eckerle-Abnehmer; allenfalls indirekt über OEMs, die Eskridge + Hydraulik nutzen.	https://www.eskridgeinc.com/ | https://www.forconstructionpros.com/equipment/attachments/company/10072911/eskridge-inc
Etnyre International	A	OEM für Asphaltverteiler und Chip-Spreader (Chip Seal). Hydrostatischer Antrieb für Förderbänder und Verstellung; mobile Straßenbaumaschinen. Eckerle EIPS/EIMQ für kompakte mobile Hydraulik gut passend; direkter OEM-Käufer.	https://etnyre.com/chipspreaders/ | https://www.forconstructionpros.com/asphalt/track-distributors/product/20866364/etnyre-international-etnyre-maintenance-asphalt-distributors
European Industrial Products Inc	B	Anbieter von Hydrostatikpumpen, -motoren und -getrieben sowie Ersatzteilen (Memphis, TN). Anderes Segment als Eckerle (Hydrostatik vs. Innenzahnrad); möglicher Kanalpartner oder Komplementärlieferant; könnte Eckerle vertreiben oder in Systeme integrieren.	https://eip.us.com/ | https://eip-inc.com/products/ | https://www.powermotiontech.com/manufacturer-directory/motors/hydraulic/motors-hydraulic-fixed-displacement/company/21888913/european-industrial-products-inc
EvoQuip	B	Terex-Marke für kompakte Brecher- und Siebanlagen (Bison, Cobra, Colt, Harrier). Hydraulik für Einstellung, Überlastschutz, Förderer. Eckerle EIPS/EIPC für mobile Aggregate sinnvoll; bei Terex oft Tier-1-Beschaffung.	https://www.terex.com/evoquip/en | https://www.terex.com/evoquip/en/products/crushing/cobra-impact-crusher/cobra/cobra-290r
Excel Machinery Ltd	C	Anbieter von Brecher-, Sieb- und Aufbereitungsanlagen (neu/gebraucht, Eigenmarke + Terex Finlay/Cedarapids). Händler/Fabricator, kein Maschinen-OEM mit eigener Hydraulikbeschaffung. Kein direkter Eckerle-Pumpenkäufer; indirekt über von ihnen vertriebene OEMs.	https://www.excelmach.com/ | https://www.excelmach.com/manufacturers
