Unternehmen	Klassifikation	Reasoning	Quelle
Heavy Motions Inc	B	Hersteller/Vertrieb von Hydraulikkomponenten (Zahnradpumpen, PTO, Zylinder, Power Units, Ventile) für LKW, Bau, Agrar, Öl/Gas. Führt u. a. Kipperpumpen (C-Series); könnte Eckerle als Quelle für Innenzahnradpumpen nutzen oder als Vertriebspartner.	https://heavymotions.com/about/ | https://heavymotions.com/product-category/gear-pump-motors/
Hitachi Construction Machinery Americas	B	Großer OEM für Hydraulikbagger (ZAXIS-7, ZX-Serie). HIOS III/IV-Hydraulik; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren oder als Zulieferer; relevante Zielbranche.	https://hitachicm.com/global/en/products/hydraulic-excavators
HKX Inc	C	Anbieter von Nachrüst-Hydraulikkits für Bagger und Backhoes (Caterpillar, Case, Terex, etc.). Integriert keine eigenen Pumpen, liefert Kits mit Schläuchen/Ventilen; Hydraulik vom Träger. Kein typischer Direktkäufer für Eckerle-Pumpen.	https://www.hkx.com/ | https://www.forconstructionpros.com/equipment/fleet-maintenance/hydraulic-system-components/product/10091622/hkx-inc-hkx-auxiliary-hydraulic-kits-for-excavators
Holdwell North America Inc	C	Holdwell Parts vertreibt Ersatzteile für JCB-Baumaschinen (Starter, Ventile, etc.). Kein Maschinen-OEM; kein direkter Eckerle-Pumpenkäufer. Falls „Holdwell“ anderer Konzern: weitere Recherche empfohlen.	https://www.holdwellparts.com/collections/jcb
Huddig INC	B	OEM für Baggerlader (Schweden): HUDDIG 1370, 1370T (Hybrid), 1260T/1260E. Hydrostatischer Antrieb, FlexLever-Hydraulik. Eckerle EIPS/EIMQ für mobile Hydraulik passend; bei mittelgroßem OEM direkte oder Tier-1-Beschaffung denkbar.	https://www.huddig.com/products/excavator-loaders/ | https://www.huddig.com/en/huddig1370
Hydrema	B	OEM für Kipper, Radbagger, Baggerlader und Schienenfahrzeuge (707G, 912G, 922G, DT6 elektrisch). Schwere Hydraulik in Antrieben und Kippen. Eckerle EIPS/EIMQ für mobile Aggregate denkbar; Käufer Hydrema oder Zulieferer.	https://www.hydrema.com/machines/ | https://www.hydrema.com/machines/dump-truck/912g-series/
HYRAX Aerial Lifts	B	OEM für Raupen-Teleskoparbeitsbühnen (HYRAX, z. B. 27.12). Hydraulik für Ausleger und Nivellierung; kompakte mobile Hydraulik. Eckerle EIPS/EIMQ für Arbeitsbühnen denkbar.	https://www.hyraxindustries.com/en/ | https://www.hyraxindustries.com/us/the-rough-terrain-telescopic-boom-lift-hyrax/
Hyundai Everdigm	B	OEM für Bagger-Anbaugeräte (Brecher, Multiprozessoren, Greifer) sowie Betonpumpenfahrzeuge, Feuerwehrfahrzeuge, Turmkrane (Korea). Schwere Hydraulik in Anbaugeräten und Pumpenfahrzeugen; Eckerle EIPS/EIMQ für Aggregate und Pumpenantriebe denkbar.	https://www.hyundaieverdigm.com/eng/ | https://www.everdigm-america.com/company/business
IC-Fluid Power Inc / IFP Motion Solutions Inc	B	Spezialist für Hydraulik und Motion Control (Cedar Rapids, IA); baut kundenspezifische Power Units, Manifolds, Reparatur. Könnte Eckerle-Pumpen in Power Units integrieren oder vertreiben; Systemlieferant/Kanalpartner.	https://www.ifpusa.com/about-ifp/ | https://www.ifpusa.com/products/
International Construction Equipment Inc	B	US-Hersteller von Gründungs- und Rammgeräten (Matthews, NC); arbeitet mit globalen Partnern. Rammgeräte mit Hydraulik; Eckerle EIPS/EIPC für Power Packs und Aggregate passend.	https://www.iceusa.com/ | https://www.internationalce.com/content/2/about-us
International Fluid Power of America	B	Vertrieb von Fluid-Power-Komponenten (Pumpen, Motoren, Ventile, Module). Möglicher Vertriebspartner für Eckerle oder Abnehmer für Pumpen in Systemen.	https://intlfpa.com/ | https://intlfpa.com/company/
Interstate Assembly Systems	B	Fahrzeugaufrüster für Bau- und Nutzfahrzeuge (Kipper, Kräne, Materialtransport). Hydraulik in Kranen und Aufbauten; Eckerle EIPS/EIMQ für kompakte Power Units denkbar.	https://assemblysystems.com/ | https://assemblysystems.com/vehicle-upfitting/
Iowa Mold Tooling Company Inc (IMT)	B	OEM für Kran-Servicefahrzeuge und Teleskopkrane (Oshkosh/IMT). Hydraulik in Kranen und Aufbauten; Eckerle EIPS/EIMQ für mobile Kran-Hydraulik denkbar.	https://imt.com/products/crane-body/ | https://www.imt.com/products/
IPS Cranes Inc	B	OEM American und Ohio Locomotive Cranes; Herstellung, Reparatur, Rebuild. Hydraulik in Kranen; Eckerle EIPS/EIMQ für mobile Kran-Aggregate denkbar.	https://www.ipscranes.com/ | https://www.ipscranes.com/AboutPage.html
Jarraff by Prinoth	A	OEM für geländegängige Baumtrimmer (Mini Jarraff, Quad Track Jarraff); Hydraulik für Ausleger und Sägen. Typische Eckerle-Zielgruppe Mobilhydraulik/Vegetation; EIMQ/EIPS passend.	https://www.prinoth-vegetationmanagement.com/en-us/products/mini-jarraff | https://www.jarraff.com/products/jarraff/quad-track-tree-trimmer/
JIMCO Home of The John Henry Rock Drill	B	Hersteller von Bagger-montierten Hydraulik-Gesteinsbohrern (JH16, JH20, LTS). Hydraulik in Bohrern und Steuerung; Eckerle EIPS/EIPC für Power Packs oder Aggregate denkbar.	https://www.johnhenryrockdrill.com/ | https://www.jimcoequipmentcorp.com/
JLG Industries Inc	B	Großer OEM für Arbeitsbühnen und Teleskoplader (MEWP, SkyTrak, R11100). Load-Sense-Kolbenpumpen, Hydraulikzylinder; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.jlg.com/en/technology-innovation/directaccess/know-where-the-hydraulic-cylinders-are-on-jlg-mewps-and-telehandlers
John Deere / Wirtgen Group	B	John Deere besitzt Wirtgen Group (Wirtgen, Vögele, Hamm, Kleemann, Benninghoven). Großer OEM Straßenbaumaschinen; Hydraulik zentral. Beschaffung über Tier-1; Eckerle-Ziel sind Zulieferer oder Deere/Wirtgen direkt.	https://www.deere.com/en/roadbuilding/ | https://www.equipmentjournal.com/construction-news/john-deere-wirtgen-group/
