Unternehmen	Klassifikation	Reasoning	Quelle
Komatsu	D	Komatsu fertigt Hydraulikpumpen und -motoren in-house (Kolben-, Zahnrad-, Flügelzellenpumpen); Remanufacturing und Originalteile. Kein typischer Eckerle-Abnehmer; Beschaffung intern.	https://www.komatsu.com/en-us/products/parts/hydraulics | https://www.komatsu.com/en-us/products/parts/remanufactured-components
Komplet America	B	OEM/Vertrieb für mobile Recyclinganlagen (Brecher, Siebe, Shredder, Förderbänder). Hydraulik für Klappen, Fördereinstellung, Antriebe; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://kompletamerica.com/ | https://kompletamerica.com/product/krokodile-plus-mobile-compact-shredder/
KTI Hydraulics Inc	A	Hersteller von Hydraulik-Power-Units (DC/AC), Zahnradpumpen, Manifolds, Reservoirs (Santa Ana, CA). Führt Zahnradpumpen für mobile/industrielle Anwendungen; direkter Abnehmer für Eckerle EIPS/EIMQ oder Vertriebspartner.	https://ktihydraulicsinc.com/ | https://ktihydraulicsinc.com/products/pumps/
Kubota Tractor Corporation	D	Kubota produziert Hydrauliksysteme in-house (Kubota Seiki/KPMT); Pumpen, Ventile, Zylinder für Traktoren und Baumaschinen. Kein typischer Eckerle-Abnehmer.	https://www.kubota.com/innovation/our-stories/hydraulic-systems.html | https://www.kubota.com/products/pumps/index.html
LaBounty	C	Hersteller von Bagger-Anbaugeräten (Scheren, Pulverisierer, Greifer, Brecher). Hydraulik vom Träger; LaBounty liefert Mechanik/Steuerung. Kein eigener Pumpenbedarf; Eckerle nur indirekt über Träger-OEM.	https://www.labountyattachments.com/en | https://www.labountyattachments.com/en/products/cp
LAMETER Srl	B	OEM für Erdbewegungs-Anbaugeräte (Löffel, Kupplungen, Hydraulik-Blockausstoßer für Steinbrüche). Hydraulik in Antrieben und Stellgliedern; Eckerle EIPS/EIMQ für kompakte Aggregate denkbar.	https://www.lameter.it/ | https://www.lameter.it/production/
Larue	B	OEM für Schneeräumgeräte (Schneefräsen für Kompaktlader, selbstfahrende Geräte). Hydraulik für Auswurf, Klappen, Lenkung; Eckerle EIPS/EIMQ für mobile Hilfsaggregate passend.	https://www.jalarue.com/ | https://www.directindustry.com/prod/larue/product-218039-2253978.html
LeeBoy	B	OEM für Asphaltfertiger (Conveyor-, Elektromodelle). Hochfluss-Hydraulik für Förderer, Schnecken, Gleitschiene; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.leeboy.com/ | https://www.leeboy.com/asphalt-paver-components-guide/
Liebherr	D	Liebherr fertigt Hydraulikpumpen und -motoren in-house (Bulle; Axialkolbenpumpen, DPVD/DPVO). Eigenentwicklung für Bau- und Bergbaumaschinen. Kein typischer Eckerle-Abnehmer.	https://www.liebherr.com/en-int/components/solutions/hydraulic-pumps-and-motors/hydraulic-solutions-5373902 | https://www.liebherr.com/en-int/p/dpvd-5373890
Link-Belt (Cranes & Excavators)	B	Sumitomo-Tochter: Hydraulikkrane (RT, Truck, Crawler) und Bagger (LBX, Lexington). Hydraulik zentral; Ersatzteile und Kits. Eckerle über Tier-1/Systemintegratoren.	https://www.linkbelt.com/cranes/ | https://en.lbxco.com/
LiuGong North America	B	OEM für Bagger, Radlader, Dozer, Roadroller (ZF u. a. für Hydraulik). F-Serie mit elektronisch gesteuerter Hydraulik; Beschaffung über Tier-1. Eckerle über Zulieferer.	https://www.liugongna.com/ | https://www.liugongna.com/products
Loftness Specialized Equipment	B	OEM für Agrar-Spezialgeräte (Grain-Bagger, Shredder, Orchard Spreader). Hydraulik für Förderer und Spinner; Eckerle EIPS/EIMQ für Agrar/Mobilhydraulik passend.	https://www.loftness.com/ | https://www.loftness.com/agriculture/
Magni Telescopic Handlers	B	OEM für Teleskoplader (RTH, TH, HTH, THA). Load-Sensing-Hydraulik 350 bar; mobile Hydraulik für Ausleger und Anbaugeräte. Eckerle EIPS/EIMQ denkbar.	https://www.magnith.com/en/telescopic-handlers/ | https://www.magnith.com/en/prodotto/12-10/
MAIT USA	B	Vertrieb/Service für MAIT-Bohrgeräte (Ramm-, CFA-, Mikropfähle-, Directional-Drills). Hydraulik-Hämmer, Power Packs, Vibrohämmer; Eckerle EIPS/EIPC für Power Packs denkbar.	https://www.maitusa.com/ | https://maitusa.com/accessories
Manitou	B	OEM für Teleskoplader und Gabelstapler. Original-Hydraulikpumpen für alle Baureihen; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.manitou.com/en-ID/key-power-and-precision-manitou-genuine-hydraulic-parts
MEC Aerial Work Platforms	C	OEM für Scheren- und Mastarbeitsbühnen; Fokus auf elektrische NetZero-Serie („zero hydraulics“). Klassische Hydraulikmodelle rückläufig; eingeschränkter Pumpenbedarf.	https://www.mecawp.com/ | https://www.mecawp.com/mec-introduces-all-new-netzero-vertical-mast-and-scissor-lifts-the-largest-range-of-all-electric-mewps-in-north-america/
Menzi USA (Menzi Muck)	B	Vertrieb von Menzi Muck Raupenbaggern (Walking Excavators). I-Control/Load-Sensing-Hydraulik (260–290 l/min, 300 bar); OEM-Hydraulik. Eckerle über Tier-1 denkbar.	https://menziusa.com/ | https://menzimuck.eu/en/menzi-muck-m4x-en/
Merlo America	B	OEM für Teleskoplader (elektrisch, kompakt, hochkapazitiv) und MultiFarmer. Hydraulik für Ausleger, Nivellierung, ASCS; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://www.merlo.com/usa/en/ | https://www.merlo.com/usa/en/p/telehandlers/high-capacity-telehandlers/
Motion (Mi Fluid Power Solutions)	B	Großer Fluid-Power-Distributor (Pumpen, Motoren, Ventile, Zylinder, Power Units, Manifolds). Kanalpartner für Eckerle; Integration in kundenspezifische Aggregate.	https://mifluidpowersolutions.com/ | https://www.controlglobal.com/industry-news/news/11287240/motion-launches-mi-fluid-power-solutions
Nescon, LLC / XBroom	B	OEM Kehrmaschinen XBroom; drei Rexroth-Kolbenpumpen (druckgeregelt) für Besen/Elevator. Eckerle EIPS/EIPC als Alternative oder Zweitquelle für Pumpenkreise denkbar.	https://xbroom.com/ | https://nescon.co/why-choose-nescon/
New Holland Construction	B	CNH-Marke: Bagger, Radlader, Tractor Loader Backhoes, Skid Steer, Compact Track Loader. Hydraulik zentral; Beschaffung über Tier-1. Eckerle über Systemintegratoren.	https://construction.newholland.com/en-us/northamerica/equipment/explore/brochures
NextGen Fluid Power LLC	A	Hersteller kundenspezifischer Hydraulik-Power-Units; Vertrieb Zahnrad-, Kolben-, Flügelzellenpumpen und -motoren. Direkter Abnehmer für Eckerle EIPS/EIMQ in Aggregaten.	https://nextgenfluidpower.com/ | https://nextgenfluidpower.com/hydraulic-components/
Nott Company	B	Systemintegrator Mobile und Industrial Fluid Power (Zylinder, Ventile, Pumpen, Motoren, Power Units, Manifolds). Potenzieller Abnehmer oder Kanalpartner für Eckerle.	https://www.nottco.com/ | https://www.nottco.com/mobile-fluid-power/
ODRA Road Sweepers	B	OEM mechanische Kehrmaschinen (MT4H, MS5H). Hydraulik für Entleerung und proportionale Ventilsteuerung; Eckerle EIPS/EIPC für Hilfspumpen denkbar.	https://www.odrasweeper.com/quality | https://odrasweeper.com/
Paladin	B	Größter unabhängiger Hersteller von Anbaugeräten und Kupplungen (Brecher, Löffel, Böden, Kehrbesen, Planierer). Hydraulik-Kits für Coupler/Thumbs; Eckerle über Kits oder OEM-Partner.	https://www.paladinattachments.com/ | https://www.paladinattachments.com/products/hydraulic-kit-installs
Palfinger North America, LLC	B	OEM Knickarmkrane (Loader Cranes), Servicekrane; Weltmarktführer. Hydraulik für Krane und Fahrzeugaufbauten; Eckerle EIPS/EIMQ für kompakte Kran-Hydraulik denkbar.	https://www.palfinger.com/en/products/loader-cranes | https://www.palfinger.com/en-us/products/knuckle-boom-cranes/models
Paus North America Inc.	B	Vertrieb/Service für Paus Bergbau- und Tunnelmaschinen (LHD, Dump Trucks, Scaler, TSL). Hydrostatik und Arbeitshydraulik; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://www.paus-na.com/ | https://www.paus-na.com/mining-and-tunneling/tsl-853
Petersen Industries	B	OEM Greifer-Lader und Knickarm-Loader (Atlas Lightning, Trash Truck Grapple). Hydraulik für Greifer und Ausleger; Eckerle EIPS/EIMQ für Power Packs denkbar.	https://petersenind.com/ | https://petersenind.com/grapple-loaders/atlas-lightning-loader/
