Unternehmen	Klassifikation	Reasoning	Quelle
Screen Machine Industries	B	OEM mobile Brecher und Siebe (5256T, 4043T, CXT Cone). Hydraulik für Brecher-Relief, Spalteinstellung, Raupenantrieb; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://www.screenmachine.com/equipment-lines/crushing-plants/5256t-impact-crusher/ | https://www.screenmachine.com/equipment-lines/crushing-plants/cxt-cone-crusher/
Sennebogen LLC	B	OEM Materialhandler und Krane (817 E, 865 E Hybrid, 870 E Hybrid). Hydraulik zentral; Green Hybrid Energierückgewinnung. Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://sennebogen-na.com/product/ | https://www.sennebogen.com/en/products/material-handler/sennebogen-865-hybrid
Seppi M.	B	OEM Forstmulcher und -mäher (MIDIFORST dt hyd, STARFORST hyd). Hydraulikantrieb 190–520 l/min für Rotoren; Eckerle EIMQ für Hochdruck-Motoren in Mulchern denkbar.	https://www.seppi.com/en/forestry-mulchers/ | https://www.seppi.com/en-us/mulcher-mower-shredder-tiller-stump-grinder/mulchers-for-compact-loaders/midiforst-dt-hyd.html
Sewer Equipment	B	Vertrieb RAMVAC Hydro- und Air-Exkavatoren (HX-15, HX-12, AX). Vollhydraulische Antriebe, Hydrostatik; Eckerle EIPS/EIMQ für Power Packs oder Hilfsaggregate denkbar.	https://sewerequipment.com/ramvac-vacuum-excavators/ | https://sewerequipment.com/ramvac-full-size-hydro-excavators/
ShearCore	C	Hersteller Fortress-Scheren und Betonprozessoren (FS Mobile Shear, FC Concrete Processor). Anbaugeräte; Hydraulik vom Träger. Kein eigener Pumpenbedarf; Eckerle nur indirekt über Träger-OEM.	https://shearcore.com/ | https://shearcore.com/our-products/fortress/fs-mobile-shear-series/
Shuttlelift	B	OEM Mobilkrane und Gantry-Krane (CD7725, SL/SB/DB Series). Load-Sensing-Kolbenpumpen, hydrostatischer Antrieb; Eckerle EIPS/EIMQ für Kran-Hydraulik denkbar.	https://www.shuttlelift.com/industrialcranes/rubber-tired-gantry-cranes-sl-series/ | https://pdf.directindustry.com/pdf/manitowoc-cranes/shuttlelift-cd7725/16235-436901.html
Simplicity, a Terex Brand	C	Terex-Marke für Siebanlagen (Modular, Portable, Static); Hydraulik nur für Einstellung/Lagerung, minimal. Kein eigener Pumpen-/Aggregatbedarf; Eckerle nur Randanwendung.	https://www.terex.com/simplicity/en | https://www.terex.com/simplicity/en/products/static-product-solutions/static-screen
Skyjack	B	OEM Scheren- und Teleskoparbeitsbühnen, Teleskoplader. Hydraulik für Heben und Antrieb; optional Hydraulik-Generatoren. Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.skyjack.com/products | https://www.skyjack.com/node/1091
Socage North America Llc	B	OEM Spider Lifts (RAPTOR 50S, 68S, 115S). Elektrohydraulische Steuerung, hydraulische Ausleger und Nivellierung; Eckerle EIPS/EIMQ für mobile Arbeitsbühnen denkbar.	https://socagenorthamerica.com/ | https://socagenorthamerica.com/tracked-lift-raptor-68s/
Soilmec North America, Inc.	A	Vertrieb Soilmec-Bohrgeräte (SR-, SC-, SM-Serie); Soilmec OEM baut/spezifiziert Load-Sensing, Zwillingskolbenpumpen (z. B. 500 l/min) in Rigs. Direkter Abnehmer für Eckerle EIPS/EIPC in Power Packs.	https://soilmecna.squarespace.com/ | https://www.heavyequipmentguide.ca/article/35274/soilmec-upgrades-drilling-rig-to-include-new-hydraulics-and-mechanics-for-improved-efficiency
Spydercrane	B	OEM Mini-Spinnenkrane (1,9–20 t). Vollhydraulischer Antrieb, hydraulische Outrigger und Schwenkantrieb; Eckerle EIPS/EIMQ für kompakte Kran-Hydraulik denkbar.	https://www.spydercrane.com/ | https://www.spydercrane.com/spydercranes
Stedman Machine Company	B	Hersteller Brecher und Zerkleinerer (Cage Mills, HSI, Mega-Slam). Hydraulik für Gehäuseöffnung und Spalteinstellung; Eckerle EIPS für Hilfspumpen in Anlagen denkbar.	https://www.stedman-machine.com/ | https://www.stedman-machine.com/h-series-impact-mills.html
Steelwrist Inc.	C	OEM Tiltrotatoren für Bagger (X07–XTR20). Hydraulik vom Träger; Steelwrist liefert Kipp-/Drehmechanik und Steuerung (LockSense, OptiLube). Kein eigener Pumpenbedarf.	https://steelwrist.com/en-us/products/tiltrotators/ | https://steelwrist.com/int/products/tiltrotators/xtr15/
Stellar Industries Inc	A	OEM Service-Lkw-Krane (76/86 Series); baut/spezifiziert vollhydraulische Ausleger und Kran-Power Units (Planetenwinde, Proportionalsteuerung). Direkter Abnehmer für Eckerle EIPS/EIMQ.	https://www.stellarindustries.com/product-category/service-cranes/hydraulic-cranes/ | https://www.stellarindustries.com/product-category/service-cranes/
Super Products	A	OEM Vakuumfahrzeuge (Mud Dog, Camel, Supersucker, SuperJet, Durasucker); baut Hydrauliksysteme für Kippen/Antriebe. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Units.	https://www.superproducts.com/ | https://www.superproducts.com/products/vacuum-trucks/supersucker-industrial-vacuum-loaders/
